 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:17:52    8.90     600     CAR     OPV
 18:17:49    8.90    2000     OPV     BPP
 18:17:49    8.90    3900     EQB     BPP
 18:17:49    8.90     143     JPM     BPP
 18:17:49    8.91    6891     ABC     SGP
 18:17:48    8.91     992     ABC     SGP
 18:17:48    8.91     450     SGP     SGP
 18:17:45    8.91     917     ABC     DBL
 18:17:45    8.91    1200     ABC     DBL
 18:17:41    8.90    1100     EQB     EQB
 18:17:40    8.91    1707     CAR     OPV
 18:17:40    8.91      93     CAR     NON
 18:17:39    8.91    1145     MLI     NON
 18:17:39    8.91    1762     MLI     NON
 18:17:36    8.91    1507     MLI     NON
 18:17:36    8.91    1361     INT     NON
 18:17:36    8.91     132     EQB     NON
 18:17:35    8.91    1716     EQB     DBL
 18:17:30    8.91    3152     EQB     VDM
 18:17:30    8.91     381     MLI     VDM
 18:17:30    8.92    1991     MLI     MLI
 18:17:29    8.91    5418     MLI     DBL
 18:17:25    8.91     400     MLI     MSI
 18:17:24    8.91   16001     MLI     SHB
 18:17:18    8.91    2800     MLI     DBL
 18:17:18    8.91   25000     MLI     SHB
 18:17:10    8.91     721     GSI     DBL
 18:17:10    8.91    3900     GSI     DBL
 18:17:10    8.91    3753     GSI     CSB
 18:17:10    8.91    2634     GSI     EVL
 18:17:01    8.91     526     DBL     EVL
 18:17:01    8.91     700     DBL     DBL
 18:16:59    8.91    1840     ABC     EVL
 18:16:59    8.91    1840     ABC     BPP
 18:16:59    8.91    3900     ABC     MSI
 18:16:59    8.91     400     ABC     ENS
 18:16:59    8.91    2000     ABC     OPV
 18:16:59    8.91      20     ABC     MSI
 18:16:59    8.90    1396     GSI     DBL
 18:16:50    8.90    2000     GSI     FIM
 18:16:46    8.90     772     GSI     DBL
 18:16:44    8.90    4088     GSI     MSI
 18:16:41    8.90     100     GSI     SGP
 18:16:41    8.90    2672     GSI     MSI
 18:16:35    8.91     400     SGP     BPP
 18:16:35    8.91   15542     MLI     BPP
 18:16:30    8.91    9000     MLI     CBK
 18:16:30    8.91   10050     MLI     EPB
 18:16:30    8.91    2200     MLI     DBL
 18:16:30    8.91     966     MLI     GSI
 18:16:30    8.91      64     MLI     MLI
 18:16:30    8.90     200     GSI     CAR
 18:16:25    8.90     112     GSI     SGP
 18:16:25    8.90     500     GSI     EVL
 18:16:25    8.91    2621     CDV     MLI
 18:16:25    8.91     112     CAR     MLI
 18:16:24    8.91    1258     MLI     BPP
 18:16:24    8.91     112     CAR     BPP
 18:16:24    8.91      15     CAR     EVL
 18:16:24    8.91    2000     OPV     EVL
 18:16:24    8.91     364     MLI     EVL
 18:16:21    8.91     500     MLI     EVL
 18:16:21    8.91     500     MLI     EVL
 18:16:20    8.91      77     MLI     EVL
 18:16:20    8.91     423     MSI     EVL
 18:16:19    8.91     500     MSI     EVL
 18:16:17    8.91     500     MSI     EVL
 18:16:15    8.92    3333     GSI     EVL
 18:16:15    8.92     112     GSI     SGP
 18:16:15    8.92    3243     GSI     CDV
 18:16:15    8.92       1     NIP     CDV
 18:16:15    8.92    1163     DBL     CDV
 18:16:15    8.92    5593     OPV     CDV
 18:16:14    8.93    5130     ABC     ENS
 18:16:12    8.92     112     OPV     SGP
 18:16:12    8.92      95     OPV     SGP
 18:16:12    8.92    7856     MLI     SGP
 18:16:12    8.92     388     SGP     SGP
 18:16:11    8.93    4639     GSI     ENS
 18:16:11    8.92    4200     OPV     OPV
 18:16:09    8.92     112     SGP     SGP
 18:16:09    8.92     500     MLI     EVL
 18:16:08    8.93    2190     ABC     ENS
 18:16:08    8.93    5000     ABC     EVL
 18:16:08    8.93    8000     ABC     OPS
 18:16:08    8.93    1000     ABC     AVA
 18:16:08    8.93     760     ABC     NON
 18:16:08    8.93    1250     ABC     OPS
 18:16:08    8.93    1000     ABC     DDB
 18:16:08    8.93     600     ABC     OPS
 18:16:08    8.93     200     ABC     NON
 18:16:06    8.92    1100     MLI     SGP
 18:16:01    8.92     500     MLI     EQB
 18:16:01    8.92    7400     MLI     ENS
 18:16:01    8.92    1500     MLI     DBL
 18:16:01    8.92    2000     MLI     OPV
 18:16:01    8.92    5000     MLI     EVL
 18:16:01    8.92     250     MLI     NON
 18:16:01    8.92    1900     MLI     EQB
 18:16:01    8.92     765     MLI     EQB
 18:16:01    8.92     300     MLI     DDB
 18:16:01    8.92    9000     MLI     OPV
 18:16:00    8.91    1735     MLI     DBL
 18:15:42    8.91     100     MLI     BPP
 18:15:42    8.91     100     MLI     BPP
 18:15:39    8.92    1000     UBS     OPV
 18:15:33    8.91     500     MLI     EVL
 18:15:29    8.91      50     MLI     SGP
 18:15:29    8.91     248     MLI     CAR
 18:15:29    8.91    7948     MLI     SHB
 18:15:29    8.91     500     MLI     SHB
 18:15:29    8.91     748     MLI     CAR
 18:15:27    8.91     438     BPP     CAR
 18:15:27    8.91    1186     BPP     CAR
 18:15:27    8.91     800     BPP     DBL
 18:15:27    8.91     168     BPP     MSI
 18:15:25    8.90      64     BPP     VDM
 18:15:25    8.90   29936     GSI     VDM
 18:15:23    8.91     636     SAB     MSI
 18:15:23    8.91     388     SAB     CAR
 18:15:21    8.91    1424     CSB     CAR
 18:15:10    8.90      80     GSI     VDM
 18:15:10    8.91     188     JPM     CAR
 18:15:10    8.91     369     JPM     CAR
 18:15:10    8.91    1826     JPM     SHB
 18:15:10    8.91      69     JPM     CAR
 18:15:10    8.91    3867     MLI     MSI
 18:15:10    8.91    1600     MLI     DBL
 18:15:10    8.91    1515     MLI     ENS
 18:15:10    8.91    4200     MLI     EPB
 18:15:10    8.91    4900     MLI     EPB
 18:15:10    8.91    4100     MLI     EPB
 18:15:10    8.91    4700     MLI     EPB
 18:15:10    8.91     369     MLI     CAR
 18:15:10    8.91     385     MLI     NON
